timestamp,emotion,confidence
2026-04-23T17:11:38.240,Fear,0.3680
2026-04-23T17:11:38.331,Fear,0.3935
2026-04-23T17:11:38.459,Fear,0.3788
2026-04-23T17:11:38.560,Fear,0.3836
2026-04-23T17:11:38.664,Sad,0.4293
2026-04-23T17:11:38.680,Neutral,0.9900
2026-04-23T17:11:38.796,Sad,0.4019
2026-04-23T17:11:38.810,Neutral,0.9914
2026-04-23T17:11:38.826,Fear,0.9993
2026-04-23T17:11:38.921,Sad,0.3804
2026-04-23T17:11:39.035,Fear,0.4672
2026-04-23T17:11:39.139,Fear,0.4116
2026-04-23T17:11:39.242,Fear,0.4531
2026-04-23T17:11:39.332,Sad,0.4242
2026-04-23T17:11:39.345,Neutral,0.8656
2026-04-23T17:11:39.439,Sad,0.4595
2026-04-23T17:11:39.454,Fear,0.9994
2026-04-23T17:11:39.468,Neutral,0.9724
2026-04-23T17:11:39.479,Fear,0.9992
2026-04-23T17:11:39.624,Sad,0.4599
2026-04-23T17:11:39.638,Happy,0.9878
2026-04-23T17:11:39.745,Sad,0.3673
2026-04-23T17:11:39.834,Sad,0.4007
2026-04-23T17:11:39.851,Fear,0.9994
2026-04-23T17:11:39.957,Sad,0.4162
2026-04-23T17:11:39.970,Fear,0.9993
2026-04-23T17:11:40.074,Fear,0.4575
2026-04-23T17:11:40.164,Sad,0.3865
2026-04-23T17:11:40.270,Fear,0.3615
2026-04-23T17:11:40.366,Neutral,0.9393
2026-04-23T17:11:40.405,Angry,0.3649
2026-04-23T17:11:40.419,Sad,0.3559
2026-04-23T17:11:40.569,Neutral,0.3849
2026-04-23T17:11:40.696,Neutral,0.4285
2026-04-23T17:11:40.833,Sad,0.4122
2026-04-23T17:11:40.971,Neutral,0.7166
2026-04-23T17:11:40.985,Neutral,0.9695
2026-04-23T17:11:41.090,Neutral,0.5137
2026-04-23T17:11:41.105,Fear,0.9992
2026-04-23T17:11:41.118,Neutral,0.9540
2026-04-23T17:11:41.248,Fear,0.3222
2026-04-23T17:11:41.369,Fear,0.3277
2026-04-23T17:11:41.503,Neutral,0.4772
2026-04-23T17:11:41.518,Neutral,0.9885
2026-04-23T17:11:41.648,Neutral,0.4913
2026-04-23T17:11:41.744,Neutral,0.8065
2026-04-23T17:11:41.839,Neutral,0.7441
2026-04-23T17:11:41.858,Fear,0.9996
2026-04-23T17:11:41.873,Fear,0.9993
2026-04-23T17:11:41.968,Neutral,0.7090
2026-04-23T17:11:41.984,Fear,0.9994
2026-04-23T17:11:42.092,Neutral,0.7929
2026-04-23T17:11:42.108,Happy,0.9003
2026-04-23T17:11:42.251,Neutral,0.7320
2026-04-23T17:11:42.268,Fear,0.9992
2026-04-23T17:11:42.291,Fear,0.9029
2026-04-23T17:11:42.414,Neutral,0.7539
2026-04-23T17:11:42.544,Neutral,0.8080
2026-04-23T17:11:42.560,Happy,0.9279
2026-04-23T17:11:42.668,Neutral,0.7811
2026-04-23T17:11:42.684,Happy,0.9997
2026-04-23T17:11:42.795,Neutral,0.8126
2026-04-23T17:11:42.810,Happy,0.8223
2026-04-23T17:11:42.824,Fear,0.9993
2026-04-23T17:11:42.943,Neutral,0.8289
2026-04-23T17:11:42.961,Neutral,0.4140
2026-04-23T17:11:42.973,Fear,0.9993
2026-04-23T17:11:43.113,Neutral,0.7399
2026-04-23T17:11:43.128,Fear,0.9988
2026-04-23T17:11:43.143,Happy,0.9948
2026-04-23T17:11:43.172,Angry,0.9573
2026-04-23T17:11:43.283,Neutral,0.8511
2026-04-23T17:11:43.299,Fear,0.9994
2026-04-23T17:11:43.417,Neutral,0.3939
2026-04-23T17:11:43.431,Fear,0.9992
2026-04-23T17:11:43.536,Neutral,0.4891
2026-04-23T17:11:43.635,Neutral,0.5098
2026-04-23T17:11:43.652,Fear,0.9984
2026-04-23T17:11:43.749,Neutral,0.6485
2026-04-23T17:11:43.766,Happy,0.9862
2026-04-23T17:11:43.782,Happy,0.9998
2026-04-23T17:11:43.886,Happy,0.9556
2026-04-23T17:11:43.983,Happy,0.9128
2026-04-23T17:11:43.996,Fear,0.9995
2026-04-23T17:11:44.017,Fear,0.9982
2026-04-23T17:11:44.040,Fear,0.9993
2026-04-23T17:11:44.165,Neutral,0.6714
2026-04-23T17:11:44.179,Fear,0.9995
2026-04-23T17:11:44.325,Neutral,0.8960
2026-04-23T17:11:44.340,Fear,0.9996
2026-04-23T17:11:44.409,Neutral,0.9913
2026-04-23T17:11:44.458,Neutral,0.9716
2026-04-23T17:11:44.475,Fear,0.9994
